period,dimension,bucket,cancellations,share_of_cancellations_percent,exit_survey_offered,boxes_received,note
2026-Q2,channel,payment_lapse,4720,47.2,no,,involuntary - the subscription auto-closes after four failed charge attempts - synthetic
2026-Q2,channel,account_page,3410,34.1,yes,,the exit survey is the final step of this flow - synthetic
2026-Q2,channel,support_contact,1870,18.7,no,,closed by an agent in the admin console - synthetic
2026-Q1,channel,payment_lapse,4290,45.9,no,,synthetic
2026-Q1,channel,account_page,3290,35.2,yes,,synthetic
2026-Q1,channel,support_contact,1770,18.9,no,,synthetic
2025-Q2,channel,payment_lapse,3150,40.9,no,,synthetic
2025-Q2,channel,account_page,2980,38.7,yes,,synthetic
2025-Q2,channel,support_contact,1570,20.4,no,,synthetic
2026-Q2,tenure_at_cancellation,day_00_07,2410,24.1,,0 to 1,cancelled before or around the first box - synthetic
2026-Q2,tenure_at_cancellation,day_08_14,2180,21.8,,1 to 2,synthetic
2026-Q2,tenure_at_cancellation,day_15_21,1650,16.5,,2 to 3,synthetic
2026-Q2,tenure_at_cancellation,day_22_60,2090,20.9,,3 to 8,synthetic
2026-Q2,tenure_at_cancellation,day_61_180,1120,11.2,,9 to 25,synthetic
2026-Q2,tenure_at_cancellation,day_181_plus,550,5.5,,26 or more,synthetic
2025-Q2,tenure_at_cancellation,day_00_07,1478,19.2,,0 to 1,synthetic
2025-Q2,tenure_at_cancellation,day_08_14,1217,15.8,,1 to 2,synthetic
2025-Q2,tenure_at_cancellation,day_15_21,1009,13.1,,2 to 3,synthetic
2025-Q2,tenure_at_cancellation,day_22_60,1779,23.1,,3 to 8,synthetic
2025-Q2,tenure_at_cancellation,day_61_180,1417,18.4,,9 to 25,synthetic
2025-Q2,tenure_at_cancellation,day_181_plus,800,10.4,,26 or more,synthetic
